,Iteration,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,9,0.7528942433006441,0.8472485768500949,0.9416029103995457,0.7076923076923077,0.6274509803921569,0.43122877254358816,0.7979453837509989,0.847628205128205,0.8973110265054112,0.8218181818181818,0.6573426573426574,0.5462622551572888
0,8,0.8384449442234325,0.9117647058823529,0.9850844675412733,0.8461538461538461,0.8275862068965517,0.695255305202411,0.8069985799125133,0.8539137173856883,0.9008288548588633,0.7927272727272727,0.6013986013986015,0.4681140951329615
0,7,0.6780565304778563,0.7874762808349146,0.8968960311919729,0.6615384615384615,0.6071428571428571,0.32143534826144193,0.8581132556474979,0.9003989030167041,0.9426845503859104,0.8436363636363636,0.7152317880794703,0.6167366002330739
0,6,0.7497401575720172,0.8453510436432637,0.9409619297145103,0.7384615384615385,0.6909090909090909,0.4821294245641048,0.8288466846410432,0.8717931764083576,0.9147396681756721,0.8145454545454546,0.6622516556291391,0.5344621033597319
0,5,0.7924790086182877,0.8757115749525616,0.9589441412868355,0.7692307692307693,0.7058823529411764,0.564704344997556,0.8329143470193284,0.8753949197523062,0.917875492485284,0.8145454545454546,0.6433566433566433,0.5320966128903981
0,4,0.6637057533300277,0.776091081593928,0.8884764098578284,0.7076923076923077,0.6666666666666667,0.41497125023298187,0.847123773346727,0.889513356254959,0.931902939163191,0.850909090909091,0.7007299270072993,0.6094969267060232
0,3,0.7552443013345439,0.8491461100569259,0.9430479187793078,0.676923076923077,0.6037735849056604,0.358523108316295,0.8258162151261,0.8723219814241485,0.918827747722197,0.8436363636363636,0.703448275862069,0.6183396649483761
0,2,0.7245439853558785,0.8254269449715369,0.9263099045871953,0.7692307692307693,0.7368421052631579,0.5407201139399461,0.8055617030884277,0.8542666666666667,0.9029716302449058,0.8145454545454546,0.6222222222222222,0.5068140340561605
0,1,0.6658634410256541,0.777988614800759,0.8901137885758639,0.6923076923076923,0.6296296296296297,0.38848763319598745,0.818177182615165,0.8666128815382548,0.9150485804613445,0.8472727272727273,0.6818181818181819,0.5907650938399054
0,0,0.7770894884839047,0.864326375711575,0.9515632629392453,0.7384615384615385,0.679245283018868,0.4887130638501451,0.8179000499841905,0.8633325230918814,0.9087649961995722,0.8036363636363636,0.6625000000000001,0.5312489642567693
