,Iteration,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
0,9,0.7557167939266031,0.8481973434535103,0.9406778929804175,0.7846153846153846,0.7666666666666667,0.5681666066487776,0.6983567310840867,0.7409302023449933,0.7835036736058999,0.6797642436149313,0.7441130298273155,0.31755277463932885
0,8,0.7557394766913379,0.8538899430740038,0.9520404094566697,0.8,0.8059701492537312,0.6091584926989412,0.7190175856640697,0.7619367744474324,0.804855963230795,0.7406679764243614,0.7962962962962964,0.44115431385672116
0,7,0.7573548792242821,0.8510436432637573,0.9447324073032324,0.7538461538461538,0.7837837837837838,0.552806580420656,0.7645170225723283,0.8034041173609986,0.8422912121496688,0.7524557956777996,0.809667673716012,0.4674194924997245
0,6,0.8149177528365104,0.8946869070208728,0.9744560612052353,0.8307692307692308,0.8307692307692308,0.6650853889943074,0.7444766242041317,0.7842676009342674,0.824058577664403,0.6974459724950884,0.7344827586206896,0.4088288008605402
0,5,0.8330575245445774,0.905123339658444,0.9771891547723107,0.8153846153846154,0.8125,0.6322277721650071,0.7467774530324706,0.7872872872872873,0.8277971215421039,0.7406679764243614,0.7807308970099668,0.4761763670314942
0,4,0.7663865902102313,0.8586337760910817,0.9508809619719322,0.7692307692307693,0.782608695652174,0.554857968328895,0.7342764235111809,0.7757076685537826,0.8171389135963842,0.7131630648330058,0.7675159235668789,0.40360493546624876
0,3,0.7365619538792747,0.8358633776091083,0.935164801338942,0.7692307692307693,0.7692307692307693,0.5417457305502846,0.6983718564055755,0.7426786411557986,0.7869854259060217,0.6994106090373281,0.76056338028169,0.35817776263636114
0,2,0.657348490783435,0.7732447817836813,0.8891410727839275,0.676923076923077,0.6557377049180327,0.3517116622185878,0.7317818529047037,0.7724375692769121,0.8130932856491205,0.6974459724950884,0.7335640138408305,0.3963498718768965
0,1,0.7514728557485331,0.8434535104364328,0.9354341651243325,0.7384615384615385,0.7017543859649122,0.477845682086464,0.7460700183275687,0.7854530744336569,0.824836130539745,0.6601178781925344,0.675422138836773,0.35668503395325823
0,0,0.775809602501778,0.863851992409867,0.951894382317956,0.7692307692307693,0.7457627118644068,0.5378189895588482,0.7506902024307481,0.7892930247205165,0.827895847010285,0.7053045186640472,0.7148288973384029,0.42602982023534564
