,AUC_LB_test,AUC_test,AUC_UB_test,Accuracy_test,F1_test,MCC_test,AUC_LB_validation,AUC_validation,AUC_UB_validation,Accuracy_validation,F1_validation,MCC_validation
N_SP1_SS,1.0078125,0.7734375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375
N_SF_TTS,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,1.0078125,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375
N_SP1_TTS,0.046875,0.046875,0.0234375,0.09095138332067675,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375
N_SP2_B,0.046875,0.046875,0.046875,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375
N_SP2_SS,0.0234375,0.046875,0.046875,0.0234375,0.0234375,5.1796875,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,5.1796875
N_SF_B,0.0703125,0.0703125,0.0234375,0.0234375,0.0234375,6.6796875,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,5.1796875
N_SP1_B,0.046875,0.046875,0.046875,0.0915892997784661,0.0234375,0.09222952866255915,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375
N_SP2_TTS,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375
N_SF_SS,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,12.0,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375,0.0234375
